                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.5641,                 3.6739,                 1.1193,                0.87536,                0.30616,                0.56146,                0.56066,                0.27509,                0.28986,                0.53156,                0.46204,                0.16742,                 2.1486,                 3.1093,                 1.8599,                0.85029,             0.00041598,             0.00041598,             0.00041598
                     58,                 2.3011,                 3.1528,                 1.0175,                0.86406,                0.30616,                0.56146,                0.56066,                0.27509,                0.28986,                0.53156,                0.46204,                0.16742,                 2.1486,                 3.1093,                 1.8599,                0.85029,               0.000414,               0.000414,               0.000414
                     59,                 2.4717,                 3.4528,                 1.0769,                0.86255,                0.30616,                0.56146,                0.56066,                0.27509,                0.28986,                0.53156,                0.46204,                0.16742,                 2.1486,                 3.1093,                 1.8599,                0.85029,             0.00041169,             0.00041169,             0.00041169
                     60,                 2.1906,                 2.9291,                 1.0336,                0.86907,                0.30922,                0.56811,                 0.5628,                0.26846,                0.30741,                0.56478,                0.49437,                0.17755,                 2.1959,                 3.2346,                 1.7597,                0.85586,             0.00040905,             0.00040905,             0.00040905
                     61,                 2.2956,                 3.2764,                 1.0511,                 0.8607,                0.30922,                0.56811,                 0.5628,                0.26846,                0.30741,                0.56478,                0.49437,                0.17755,                 2.1959,                 3.2346,                 1.7597,                0.85586,             0.00040608,             0.00040608,             0.00040608
                     62,                 2.0377,                 2.8114,                 1.0219,                0.86932,                0.30922,                0.56811,                 0.5628,                0.26846,                0.30741,                0.56478,                0.49437,                0.17755,                 2.1959,                 3.2346,                 1.7597,                0.85586,             0.00040278,             0.00040278,             0.00040278
                     63,                 2.1199,                  2.964,                0.97325,                 0.8556,                0.37346,                0.54485,                0.55665,                0.25687,                0.30631,                0.56478,                0.49718,                0.19695,                 2.2533,                 3.1453,                 1.6954,                0.86189,             0.00039915,             0.00039915,             0.00039915
                     64,                 2.2449,                 3.2531,                 1.0153,                0.86501,                0.37346,                0.54485,                0.55665,                0.25687,                0.30631,                0.56478,                0.49718,                0.19695,                 2.2533,                 3.1453,                 1.6954,                0.86189,             0.00039519,             0.00039519,             0.00039519
                     65,                 2.1659,                 2.9802,                      1,                0.86355,                0.37346,                0.54485,                0.55665,                0.25687,                0.30631,                0.56478,                0.49718,                0.19695,                 2.2533,                 3.1453,                 1.6954,                0.86189,              0.0003909,              0.0003909,              0.0003909
                     66,                 2.2603,                 3.2358,                  1.019,                0.86321,                0.75801,                 0.4485,                 0.5538,                0.25471,                0.44857,                0.52492,                0.52095,                0.20941,                 2.2401,                 3.0616,                 1.6131,                 0.8602,             0.00038629,             0.00038629,             0.00038629
                     67,                 2.1762,                 3.1017,                0.96228,                0.85393,                0.75801,                 0.4485,                 0.5538,                0.25471,                0.44857,                0.52492,                0.52095,                0.20941,                 2.2401,                 3.0616,                 1.6131,                 0.8602,             0.00038134,             0.00038134,             0.00038134
                     68,                 2.3052,                 3.1534,                 1.0502,                0.85613,                0.75801,                 0.4485,                 0.5538,                0.25471,                0.44857,                0.52492,                0.52095,                0.20941,                 2.2401,                 3.0616,                 1.6131,                 0.8602,             0.00037606,             0.00037606,             0.00037606
                     69,                 1.8851,                 2.5748,                0.93399,                0.86516,                0.80898,                0.39397,                0.52663,                0.22489,                0.61091,                0.43522,                0.52019,                 0.2186,                 2.4062,                 3.1239,                 1.5504,                 0.8787,             0.00037045,             0.00037045,             0.00037045
                     70,                 2.0948,                 2.8007,                0.92658,                0.85074,                0.80898,                0.39397,                0.52663,                0.22489,                0.61091,                0.43522,                0.52019,                 0.2186,                 2.4062,                 3.1239,                 1.5504,                 0.8787,             0.00036451,             0.00036451,             0.00036451
                     71,                 2.3619,                 3.1874,                  1.017,                0.86983,                0.80898,                0.39397,                0.52663,                0.22489,                0.61091,                0.43522,                0.52019,                 0.2186,                 2.4062,                 3.1239,                 1.5504,                 0.8787,             0.00035824,             0.00035824,             0.00035824
                     72,                 2.4509,                 3.4423,                 1.0288,                0.86795,                0.83562,                0.38843,                0.53309,                0.22532,                0.68309,                0.40818,                0.50616,                0.19683,                 2.3858,                 3.0879,                 1.5124,                0.87569,             0.00035164,             0.00035164,             0.00035164
                     73,                 2.3986,                 3.0969,                 1.0365,                0.86107,                0.83562,                0.38843,                0.53309,                0.22532,                0.68309,                0.40818,                0.50616,                0.19683,                 2.3858,                 3.0879,                 1.5124,                0.87569,             0.00034471,             0.00034471,             0.00034471
                     74,                 2.7354,                 3.5797,                 1.1244,                0.86991,                0.83562,                0.38843,                0.53309,                0.22532,                0.68309,                0.40818,                0.50616,                0.19683,                 2.3858,                 3.0879,                 1.5124,                0.87569,             0.00033745,             0.00033745,             0.00033745
                     75,                 2.0572,                 2.7424,                0.92111,                0.85638,                0.83902,                0.39824,                0.54073,                0.22696,                0.69732,                0.40199,                0.52295,                0.19888,                 2.3786,                 3.1557,                  1.477,                0.87544,             0.00032986,             0.00032986,             0.00032986
                     76,                 2.0165,                 2.7141,                0.92263,                0.85137,                0.83902,                0.39824,                0.54073,                0.22696,                0.69732,                0.40199,                0.52295,                0.19888,                 2.3786,                 3.1557,                  1.477,                0.87544,             0.00032194,             0.00032194,             0.00032194
                     77,                 2.2676,                 3.0443,                0.99106,                0.83881,                0.83902,                0.39824,                0.54073,                0.22696,                0.69732,                0.40199,                0.52295,                0.19888,                 2.3786,                 3.1557,                  1.477,                0.87544,             0.00031369,             0.00031369,             0.00031369
                     78,                 2.2008,                 2.9806,                0.98665,                0.83186,                0.83067,                0.41196,                0.55915,                 0.2536,                0.66184,                0.37874,                0.49438,                0.19294,                 2.2382,                 3.1386,                  1.457,                0.86058,             0.00030511,             0.00030511,             0.00030511
                     79,                 2.1805,                   3.06,                0.99055,                0.84788,                0.83067,                0.41196,                0.55915,                 0.2536,                0.66184,                0.37874,                0.49438,                0.19294,                 2.2382,                 3.1386,                  1.457,                0.86058,              0.0002962,              0.0002962,              0.0002962
                     80,                 2.1301,                  2.953,                0.95866,                0.84876,                0.83067,                0.41196,                0.55915,                 0.2536,                0.66184,                0.37874,                0.49438,                0.19294,                 2.2382,                 3.1386,                  1.457,                0.86058,             0.00028696,             0.00028696,             0.00028696
                     81,                 1.8988,                 2.4981,                0.87496,                0.85371,                0.84181,                0.41528,                   0.58,                0.26473,                0.71022,                0.39535,                0.52133,                0.21485,                  2.229,                 3.1663,                 1.4451,                0.85888,             0.00027739,             0.00027739,             0.00027739
                     82,                 1.8922,                 2.6662,                0.85488,                0.86388,                0.84181,                0.41528,                   0.58,                0.26473,                0.71022,                0.39535,                0.52133,                0.21485,                  2.229,                 3.1663,                 1.4451,                0.85888,             0.00026749,             0.00026749,             0.00026749
                     83,                 1.9231,                 2.5787,                0.91605,                0.84923,                0.84181,                0.41528,                   0.58,                0.26473,                0.71022,                0.39535,                0.52133,                0.21485,                  2.229,                 3.1663,                 1.4451,                0.85888,             0.00025726,             0.00025726,             0.00025726
                     84,                  2.049,                 2.6415,                0.92589,                0.84699,                0.82986,                0.40864,                0.56854,                0.25216,                0.76602,                0.39203,                0.53887,                 0.2299,                 2.3166,                 3.2021,                 1.4328,                0.86729,              0.0002467,              0.0002467,              0.0002467
                     85,                 2.2152,                  2.872,                0.94742,                0.86743,                0.82986,                0.40864,                0.56854,                0.25216,                0.76602,                0.39203,                0.53887,                 0.2299,                 2.3166,                 3.2021,                 1.4328,                0.86729,             0.00023581,             0.00023581,             0.00023581
                     86,                 2.0201,                  2.747,                0.86638,                0.85583,                0.82986,                0.40864,                0.56854,                0.25216,                0.76602,                0.39203,                0.53887,                 0.2299,                 2.3166,                 3.2021,                 1.4328,                0.86729,             0.00022459,             0.00022459,             0.00022459
                     87,                 2.1707,                 2.8743,                0.95638,                0.86023,                0.82986,                0.40864,                0.56854,                0.25216,                0.76602,                0.39203,                0.53887,                 0.2299,                 2.3166,                 3.2021,                 1.4328,                0.86729,             0.00021304,             0.00021304,             0.00021304
                     88,                 2.0301,                 2.7248,                0.88771,                0.84331,                0.83545,                0.41196,                0.56831,                0.25054,                0.77468,                0.39203,                0.55068,                0.23237,                 2.3565,                 3.1532,                 1.3978,                0.86989,             0.00020116,             0.00020116,             0.00020116
                     89,                  2.062,                 2.7069,                0.94426,                0.84399,                0.83545,                0.41196,                0.56831,                0.25054,                0.77468,                0.39203,                0.55068,                0.23237,                 2.3565,                 3.1532,                 1.3978,                0.86989,             0.00018894,             0.00018894,             0.00018894
                     90,                 2.0263,                  2.801,                0.87753,                0.85017,                0.83545,                0.41196,                0.56831,                0.25054,                0.77468,                0.39203,                0.55068,                0.23237,                 2.3565,                 3.1532,                 1.3978,                0.86989,              0.0001764,              0.0001764,              0.0001764
                     91,                 2.0798,                 2.7683,                 1.0607,                0.85073,                0.83545,                0.41196,                0.56831,                0.25054,                0.77468,                0.39203,                0.55068,                0.23237,                 2.3565,                 3.1532,                 1.3978,                0.86989,             0.00016353,             0.00016353,             0.00016353
                     92,                 1.9934,                 2.7521,                0.91888,                0.86127,                0.82445,                0.42129,                0.57643,                0.24619,                0.77335,                0.40809,                0.55919,                0.23427,                 2.3933,                 3.1235,                  1.344,                0.87275,             0.00015033,             0.00015033,             0.00015033
                     93,                 1.8587,                 2.6587,                0.86741,                 0.8387,                0.82445,                0.42129,                0.57643,                0.24619,                0.77335,                0.40809,                0.55919,                0.23427,                 2.3933,                 3.1235,                  1.344,                0.87275,              0.0001368,              0.0001368,              0.0001368
                     94,                 1.7107,                  2.315,                 0.8285,                0.86421,                0.82445,                0.42129,                0.57643,                0.24619,                0.77335,                0.40809,                0.55919,                0.23427,                 2.3933,                 3.1235,                  1.344,                0.87275,             0.00012294,             0.00012294,             0.00012294
                     95,                 1.9523,                 2.6658,                0.87982,                0.86059,                0.82445,                0.42129,                0.57643,                0.24619,                0.77335,                0.40809,                0.55919,                0.23427,                 2.3933,                 3.1235,                  1.344,                0.87275,             0.00010875,             0.00010875,             0.00010875
                     96,                 1.7929,                  2.463,                0.84137,                0.86674,                0.80641,                0.42857,                0.57843,                0.24359,                0.73597,                0.41196,                 0.5624,                0.23849,                  2.413,                 3.1235,                 1.2888,                0.87396,             9.4227e-05,             9.4227e-05,             9.4227e-05
                     97,                   1.92,                 2.5826,                0.88001,                0.85273,                0.80641,                0.42857,                0.57843,                0.24359,                0.73597,                0.41196,                 0.5624,                0.23849,                  2.413,                 3.1235,                 1.2888,                0.87396,             7.9376e-05,             7.9376e-05,             7.9376e-05
                     98,                 1.7454,                 2.1999,                0.81754,                0.86002,                0.80641,                0.42857,                0.57843,                0.24359,                0.73597,                0.41196,                 0.5624,                0.23849,                  2.413,                 3.1235,                 1.2888,                0.87396,             6.4195e-05,             6.4195e-05,             6.4195e-05
                     99,                 2.0746,                 2.9625,                 1.0011,                0.85811,                0.80641,                0.42857,                0.57843,                0.24359,                0.73597,                0.41196,                 0.5624,                0.23849,                  2.413,                 3.1235,                 1.2888,                0.87396,             4.8683e-05,             4.8683e-05,             4.8683e-05
                    100,                 2.0242,                 2.7348,                0.99393,                0.85792,                0.79753,                0.43189,                0.57903,                0.25086,                0.73448,                0.42525,                0.56006,                0.23614,                 2.3805,                  3.087,                 1.2238,                0.86917,             3.2842e-05,             3.2842e-05,             3.2842e-05
